loja,club,marca_1,marca_2,marca_3,regiao,canal,localizacao,numero_empregados,aporte_inicial,modelo_arquitetonico,tem_estoque_proprio,usa_despachante,legado_familia,sistema_1,sistema_2,sistema_3,sistemas_4,sistema_5,sistema_6,faturamento_ultimo_ano,maturidade_processo
1254,DIAMANTE,S,S,N,1,LJ,SHOPPING,28,627842,1,S,S,S,S,S,S,N,N,N,B,MÉDIA
1255,OURO,S,N,N,2,VD,SHOPPING,13,511404,3,S,S,N,S,S,S,N,S,S,B,MÉDIA
1256,BRONZE,S,N,N,3,BO,RURAL,23,113857,4,N,,N,N,S,N,N,N,N,B,BAIXA
1257,DIAMANTE,S,S,N,3,LJ,CENTRO,24,832746,1,N,N,S,N,S,S,N,S,S,B,BAIXA
1258,OURO,S,N,N,4,BO,RUA_FAMOSA,7,710117,2,S,S,N,S,N,S,S,N,S,A,ALTA
1259,PRATA,N,S,S,4,LJ,RUA_FAMOSA,9,696313,4,S,S,N,S,S,S,N,N,N,D,ALTA
1260,DIAMANTE,S,S,N,1,LJ,CENTRO,26,758165,1,N,N,S,S,S,N,N,S,S,A,ALTA
1261,DIAMANTE,S,S,N,2,BO,RUA_FAMOSA,28,513501,1,N,N,S,S,S,S,S,S,S,C,ALTA
1262,PRATA,S,N,S,5,VD,SHOPPING,5,682184,4,N,,N,N,N,S,N,N,N,C,BAIXA
1263,DIAMANTE,S,S,S,3,LJ,RUA_FAMOSA,26,703167,1,N,S,S,N,S,S,N,N,N,A,MÉDIA
1264,OURO,S,N,N,6,VD,RURAL,12,958150,4,N,N,S,S,S,N,S,S,S,A,BAIXA
1265,PRATA,S,S,N,1,BO,BAIRRO,8,506636,4,N,N,N,S,N,S,S,S,N,D,BAIXA
1266,OURO,S,N,S,6,LJ,RUA_FAMOSA,10,613807,2,N,,S,S,S,S,N,S,S,A,MÉDIA
1267,BRONZE,N,N,N,5,VD,CENTRO,22,253020,4,N,S,S,S,N,N,S,S,N,B,BAIXA
1268,OURO,S,S,N,3,VD,RUA_FAMOSA,15,704027,2,S,S,S,S,S,N,S,S,S,B,MÉDIA
1269,BRONZE,S,N,N,3,LJ,CENTRO,15,226451,4,S,S,S,S,S,S,S,S,N,D,INEXISTENTE
1270,DIAMANTE,S,S,S,3,LJ,SHOPPING,27,919072,1,N,N,S,N,S,N,N,S,S,C,ALTA
1271,DIAMANTE,S,S,N,4,BO,RURAL,9,910916,1,N,S,S,S,S,N,N,S,N,A,MÉDIA
1272,DIAMANTE,S,S,S,2,LJ,RURAL,20,792505,1,S,N,S,S,S,N,N,S,N,A,MÉDIA
1273,DIAMANTE,S,S,N,1,VD,BAIRRO,12,759296,1,S,S,S,N,S,S,S,N,N,A,MÉDIA
1274,DIAMANTE,S,S,S,2,VD,BAIRRO,11,895809,1,N,S,S,N,S,S,N,S,N,B,ALTA
1275,DIAMANTE,S,S,N,1,BO,RUA_FAMOSA,14,755281,1,N,N,S,N,S,S,N,S,S,A,ALTA
1276,BRONZE,N,N,N,1,VD,BAIRRO,22,211721,4,S,S,N,N,N,N,S,S,N,C,BAIXA
1277,OURO,S,N,N,6,VD,RUA_FAMOSA,7,893240,2,N,N,N,S,S,N,S,S,N,D,BAIXA
1278,BRONZE,N,S,S,2,BO,CENTRO,17,147025,4,S,N,S,N,S,N,N,S,N,D,MÉDIA
1279,PRATA,N,S,S,2,VD,SHOPPING,7,747239,4,S,N,N,N,N,S,S,N,N,A,INEXISTENTE
1280,DIAMANTE,S,S,S,3,BO,CENTRO,10,502120,1,S,N,S,N,S,S,S,N,S,A,MÉDIA
1281,DIAMANTE,S,S,N,6,VD,SHOPPING,26,749880,1,S,N,S,N,S,S,N,N,S,A,ALTA
1282,PRATA,N,N,S,5,LJ,BAIRRO,6,640811,3,S,S,N,N,S,S,N,N,N,D,BAIXA
1283,PRATA,N,N,N,2,BO,RUA_FAMOSA,8,942380,4,N,N,N,N,S,S,N,N,N,A,INEXISTENTE
1284,DIAMANTE,S,S,N,4,LJ,RUA_FAMOSA,24,860197,1,N,N,S,S,S,N,N,S,N,A,MÉDIA
1285,DIAMANTE,S,S,S,2,BO,SHOPPING,29,896959,1,N,S,S,S,S,S,N,N,N,C,BAIXA
1286,BRONZE,S,S,N,2,VD,RUA_FAMOSA,20,142726,4,N,S,S,S,S,S,S,S,N,C,MÉDIA
1287,OURO,S,N,N,2,VD,CENTRO,15,755146,2,S,N,N,S,S,S,S,S,S,C,ALTA
1288,DIAMANTE,S,S,S,5,VD,RUA_FAMOSA,18,940660,1,S,S,S,N,S,S,N,S,N,A,ALTA
1289,DIAMANTE,S,S,S,2,BO,SHOPPING,22,556539,1,S,N,S,S,S,S,S,S,S,A,ALTA
1290,DIAMANTE,S,S,S,1,VD,RURAL,24,783183,1,N,S,S,N,S,S,N,S,S,C,ALTA
1291,PRATA,N,N,N,3,LJ,SHOPPING,6,828461,3,S,S,N,S,S,N,S,N,N,D,INEXISTENTE
1292,OURO,S,N,S,2,BO,CENTRO,8,465779,2,S,N,S,S,N,S,N,N,N,B,MÉDIA
1293,DIAMANTE,S,S,S,2,VD,CENTRO,18,794285,1,N,N,S,S,S,S,S,S,N,A,MÉDIA
1294,BRONZE,N,N,N,2,BO,RURAL,15,293156,4,S,S,S,N,N,S,S,N,N,A,MÉDIA
1295,PRATA,N,N,S,4,VD,CENTRO,9,361540,3,S,N,N,S,N,S,S,S,N,A,BAIXA
1296,DIAMANTE,S,S,N,3,LJ,SHOPPING,20,696351,1,S,N,S,N,S,S,S,S,S,A,ALTA
1297,PRATA,S,S,N,6,VD,RUA_FAMOSA,5,615431,4,S,S,N,S,N,N,N,S,N,A,BAIXA
1298,OURO,S,S,S,4,VD,BAIRRO,7,539018,3,S,N,S,S,N,N,N,N,S,D,MÉDIA
1299,PRATA,S,S,S,2,VD,CENTRO,7,432943,4,S,S,N,N,N,N,N,N,N,D,INEXISTENTE
1300,BRONZE,N,N,N,2,LJ,RUA_FAMOSA,24,260454,4,S,N,N,S,N,S,S,N,N,A,MÉDIA
1301,BRONZE,N,N,N,2,BO,CENTRO,17,109952,4,S,N,S,S,N,S,S,S,N,B,BAIXA
1302,OURO,S,N,N,2,VD,RUA_FAMOSA,9,581370,2,N,S,N,S,S,N,S,S,N,C,INEXISTENTE
1303,PRATA,S,S,S,2,VD,SHOPPING,8,422910,3,N,N,N,N,N,S,N,N,N,D,BAIXA
1304,DIAMANTE,S,S,S,5,LJ,SHOPPING,10,977276,1,N,N,S,S,S,S,N,N,S,A,ALTA
1305,OURO,S,S,N,6,LJ,BAIRRO,15,782933,3,N,N,N,S,S,N,N,S,S,B,MÉDIA
1306,OURO,S,S,S,6,LJ,BAIRRO,16,573063,4,N,S,S,S,N,N,S,N,N,A,INEXISTENTE
1307,PRATA,S,S,S,6,VD,RUA_FAMOSA,4,696340,3,N,N,N,S,S,N,S,S,N,C,ALTA
1308,BRONZE,N,N,N,2,VD,BAIRRO,18,210130,4,S,N,S,N,N,S,N,N,N,B,INEXISTENTE
1309,BRONZE,S,N,S,2,LJ,BAIRRO,22,112137,4,S,N,N,N,N,N,S,N,N,C,BAIXA
1310,PRATA,S,S,N,4,VD,RUA_FAMOSA,6,481028,3,S,S,N,N,S,S,S,S,N,A,MÉDIA
1311,OURO,S,N,S,6,BO,CENTRO,10,826853,4,N,S,N,S,N,S,N,N,N,C,INEXISTENTE
1312,BRONZE,N,N,S,3,VD,RUA_FAMOSA,24,163901,4,S,N,N,S,S,S,N,N,N,D,BAIXA
1313,DIAMANTE,S,S,N,5,VD,SHOPPING,25,617969,1,S,S,S,S,S,N,N,N,N,B,BAIXA
1314,DIAMANTE,S,S,N,3,BO,CENTRO,28,863983,1,N,N,S,S,S,N,N,S,S,A,ALTA
1315,PRATA,S,N,N,3,VD,RUA_FAMOSA,6,882273,4,S,N,N,N,N,N,S,N,N,B,BAIXA
1316,OURO,S,N,S,6,VD,BAIRRO,12,826789,4,N,S,N,S,N,N,S,S,N,C,ALTA
1317,PRATA,S,N,N,1,LJ,CENTRO,7,428832,4,N,S,N,N,S,S,S,N,N,B,MÉDIA
1318,PRATA,N,N,S,1,BO,BAIRRO,7,629647,3,S,N,N,N,S,S,N,S,N,D,INEXISTENTE
1319,DIAMANTE,S,S,S,2,VD,,26,809709,1,S,N,S,N,S,N,N,S,S,A,ALTA
1320,OURO,S,S,S,5,LJ,CENTRO,8,944744,3,S,S,S,S,N,N,S,S,N,C,BAIXA
1321,OURO,S,N,N,2,BO,RUA_FAMOSA,11,818061,4,S,S,N,S,N,N,N,S,S,D,ALTA
1322,PRATA,S,S,S,2,VD,RUA_FAMOSA,8,474580,3,N,S,N,N,S,S,S,N,N,D,BAIXA
1323,BRONZE,S,N,N,3,BO,,,226857,4,N,N,N,N,N,N,S,S,N,C,INEXISTENTE
1324,PRATA,N,N,N,6,BO,,,936904,3,S,S,N,S,N,N,S,S,N,D,BAIXA
1325,DIAMANTE,S,S,N,5,BO,,,672651,1,S,S,S,N,S,S,S,N,S,B,BAIXA
1326,DIAMANTE,S,S,N,2,VD,,11,553668,1,N,S,S,N,S,N,N,N,S,B,ALTA
1327,BRONZE,S,S,N,5,VD,,19,229722,4,S,S,N,N,N,S,N,S,N,C,MÉDIA
1328,PRATA,S,N,N,1,LJ,,9,881830,4,S,S,N,S,S,N,N,S,N,D,INEXISTENTE
1329,PRATA,N,N,N,1,BO,,8,708242,4,N,S,N,S,S,N,N,N,N,D,MÉDIA
1330,OURO,S,S,N,2,LJ,,12,854875,2,N,N,N,S,S,N,S,S,N,C,ALTA
1331,OURO,S,N,N,2,BO,,15,391662,4,S,S,N,S,N,S,S,N,S,D,ALTA
1332,PRATA,S,S,N,3,LJ,RUA_FAMOSA,5,848625,4,N,,N,N,N,S,N,N,N,D,INEXISTENTE
1333,OURO,S,S,S,1,BO,,16,731744,3,S,N,S,S,S,S,N,S,S,A,ALTA
1334,OURO,S,N,N,1,BO,RURAL,8,881577,2,N,S,N,S,N,N,N,S,S,B,MÉDIA
1335,PRATA,S,S,N,2,BO,RUA_FAMOSA,8,438863,4,S,N,N,S,S,N,S,N,N,D,ALTA
1336,BRONZE,S,N,N,2,LJ,,16,146116,4,S,S,N,S,N,N,S,S,N,C,BAIXA
1337,PRATA,N,S,S,4,LJ,CENTRO,,787320,4,N,N,N,N,N,N,S,S,N,D,INEXISTENTE
1338,DIAMANTE,S,S,N,3,LJ,BAIRRO,8,789288,1,N,,S,N,S,S,S,N,S,A,ALTA
1339,OURO,S,S,S,5,LJ,RUA_FAMOSA,13,941863,3,S,S,S,S,S,N,N,S,N,B,MÉDIA
1340,PRATA,S,S,S,5,LJ,BAIRRO,9,935854,4,S,S,N,S,N,N,S,N,N,D,BAIXA
1341,OURO,S,S,N,1,BO,RUA_FAMOSA,,446038,3,S,S,N,S,S,N,N,N,S,B,MÉDIA
1342,PRATA,N,N,N,6,VD,RUA_FAMOSA,8,566724,3,N,N,N,S,S,S,N,N,N,C,INEXISTENTE
1343,BRONZE,N,S,S,1,LJ,SHOPPING,23,193971,4,N,,N,S,S,S,N,S,N,B,BAIXA
1344,BRONZE,S,S,N,2,LJ,BAIRRO,19,299303,4,S,S,S,N,S,S,S,S,N,C,BAIXA
1345,PRATA,S,N,N,2,LJ,,8,545324,3,S,S,N,S,N,S,S,N,N,D,INEXISTENTE
1346,DIAMANTE,S,S,S,3,BO,SHOPPING,16,977040,1,N,N,S,N,S,N,S,S,S,A,MÉDIA
1347,OURO,S,S,N,1,BO,RUA_FAMOSA,,644936,2,S,,S,S,S,S,S,S,S,A,ALTA
1348,OURO,S,N,S,6,VD,BAIRRO,8,976832,4,S,S,N,S,N,S,N,S,N,D,MÉDIA
1349,OURO,S,N,N,1,BO,RUA_FAMOSA,8,751120,4,S,S,N,S,S,S,N,N,N,B,BAIXA
1350,BRONZE,S,N,N,2,VD,RUA_FAMOSA,19,214943,4,N,S,S,S,N,N,S,N,N,D,MÉDIA
1351,PRATA,S,N,S,4,BO,CENTRO,5,631829,3,S,S,N,N,N,S,N,S,N,D,ALTA
1352,OURO,S,S,S,3,BO,RUA_FAMOSA,10,483934,2,S,S,S,S,N,S,N,N,N,A,ALTA
1353,DIAMANTE,S,S,N,2,VD,CENTRO,16,507681,1,S,,S,N,S,S,N,S,N,A,ALTA
1354,OURO,S,S,N,1,LJ,CENTRO,15,869009,4,N,S,S,S,S,S,S,N,N,C,MÉDIA
1355,PRATA,S,N,N,2,LJ,SHOPPING,4,862163,4,S,,N,S,N,N,S,S,N,C,MÉDIA
1356,DIAMANTE,S,S,N,2,BO,SHOPPING,11,602129,1,N,S,S,S,S,N,S,S,S,B,MÉDIA
1357,DIAMANTE,S,S,N,1,LJ,BAIRRO,15,991082,1,N,S,S,S,S,S,N,S,N,B,MÉDIA
1358,DIAMANTE,S,S,S,2,LJ,CENTRO,8,637526,1,N,N,S,S,S,N,N,N,S,B,ALTA
1359,DIAMANTE,S,S,S,5,LJ,CENTRO,13,996544,1,S,,S,N,S,S,S,S,N,A,MÉDIA
1360,BRONZE,S,S,S,4,VD,RUA_FAMOSA,25,209638,4,S,S,S,N,S,S,S,S,N,B,MÉDIA
1361,OURO,S,N,S,2,BO,BAIRRO,11,437423,2,N,N,N,S,S,N,N,N,S,A,INEXISTENTE
1362,BRONZE,S,S,N,3,LJ,CENTRO,22,185700,4,S,S,S,N,S,S,N,N,N,C,BAIXA
1363,DIAMANTE,S,S,S,4,BO,,22,540552,1,N,S,S,N,S,S,N,N,S,A,ALTA
1364,BRONZE,S,S,N,1,BO,BAIRRO,24,231008,4,N,S,N,N,S,S,N,S,N,C,BAIXA
1365,BRONZE,S,S,S,1,VD,,24,110846,4,N,S,S,S,N,N,S,S,N,C,MÉDIA
1366,DIAMANTE,S,S,N,1,BO,BAIRRO,29,879365,1,S,N,S,N,S,S,N,N,S,B,ALTA
1367,BRONZE,S,N,N,4,BO,RUA_FAMOSA,,166201,4,N,S,N,S,S,S,S,S,N,C,MÉDIA
1368,PRATA,N,N,S,3,LJ,BAIRRO,,958615,3,S,S,N,N,S,N,N,S,N,C,ALTA
1369,OURO,S,N,N,3,BO,RUA_FAMOSA,,780938,3,N,N,S,S,N,N,S,S,N,A,MÉDIA
1370,PRATA,S,N,S,2,VD,,,885288,4,N,N,N,N,S,S,S,S,N,C,INEXISTENTE
1371,OURO,S,S,N,1,VD,,,980441,3,N,S,N,S,S,N,N,N,S,A,MÉDIA
1372,BRONZE,S,S,N,2,VD,RUA_FAMOSA,,192834,4,N,S,N,N,S,N,N,N,N,D,BAIXA
1373,PRATA,N,S,S,1,VD,CENTRO,,746031,3,S,S,N,N,N,S,S,N,N,B,BAIXA
1374,BRONZE,S,N,S,1,VD,CENTRO,,117318,4,S,N,S,N,N,S,N,S,N,D,INEXISTENTE
1375,OURO,S,S,N,2,VD,SHOPPING,,795854,4,N,N,S,S,S,S,S,N,S,B,MÉDIA
1376,BRONZE,N,S,S,3,LJ,RURAL,,216943,4,N,S,N,S,N,N,N,S,N,A,BAIXA
1377,BRONZE,N,N,N,5,BO,,,183551,4,N,S,S,S,N,N,S,N,N,D,INEXISTENTE
1378,DIAMANTE,S,S,S,4,BO,CENTRO,11,908185,1,N,N,S,N,S,N,N,N,N,A,ALTA
1379,DIAMANTE,S,S,S,2,BO,,23,943245,1,S,S,S,N,S,S,S,N,S,A,ALTA
1380,DIAMANTE,S,S,N,1,VD,RUA_FAMOSA,,829347,1,S,N,S,N,S,N,N,N,N,A,ALTA
1381,OURO,S,N,S,2,VD,BAIRRO,9,487035,4,N,N,S,S,N,N,N,S,N,B,MÉDIA
1382,PRATA,N,N,S,4,VD,CENTRO,6,400860,4,S,S,N,S,S,S,S,N,N,D,INEXISTENTE
1383,DIAMANTE,S,S,N,6,BO,,28,904092,1,N,S,S,N,S,S,S,N,N,B,ALTA
1384,DIAMANTE,S,S,S,2,BO,BAIRRO,17,970049,1,S,S,S,N,S,S,S,S,N,A,BAIXA
1385,DIAMANTE,S,S,S,1,VD,RUA_FAMOSA,30,727877,1,N,N,S,S,S,S,S,S,S,A,ALTA
1386,BRONZE,N,N,N,1,LJ,RUA_FAMOSA,23,127862,4,S,N,S,S,S,N,S,N,N,D,MÉDIA
1387,BRONZE,S,N,N,4,VD,CENTRO,18,228455,4,S,S,N,N,N,S,N,S,N,D,INEXISTENTE
1388,DIAMANTE,S,S,S,1,BO,BAIRRO,18,629060,1,S,N,S,N,S,N,N,N,S,A,ALTA
1389,DIAMANTE,S,S,S,1,VD,RUA_FAMOSA,17,865443,1,S,S,S,N,S,S,S,N,N,A,ALTA
1390,OURO,S,N,N,3,VD,BAIRRO,12,763252,3,S,S,S,S,S,S,S,S,S,B,MÉDIA
1391,DIAMANTE,S,S,N,3,BO,SHOPPING,18,529373,1,N,N,S,S,S,N,N,S,N,A,ALTA
1392,OURO,S,N,N,2,VD,BAIRRO,7,353295,4,S,N,S,S,N,N,S,S,S,B,ALTA
1393,OURO,S,N,S,1,LJ,RURAL,11,944333,2,N,S,N,S,S,S,N,N,S,B,INEXISTENTE
1394,DIAMANTE,S,S,N,6,VD,RUA_FAMOSA,26,809837,1,S,N,S,N,S,N,N,N,N,A,ALTA
1395,OURO,S,S,S,2,VD,CENTRO,11,653472,4,N,,S,S,N,N,N,S,N,A,BAIXA
1396,OURO,S,S,N,4,LJ,CENTRO,15,755224,3,N,,S,S,S,N,S,N,N,B,INEXISTENTE
1397,OURO,S,S,S,5,BO,RUA_FAMOSA,10,817387,3,N,N,N,S,N,N,S,S,S,A,INEXISTENTE
1398,OURO,S,N,N,1,LJ,BAIRRO,11,361236,2,S,S,N,S,N,N,N,N,N,D,INEXISTENTE
1399,DIAMANTE,S,S,S,3,LJ,RUA_FAMOSA,10,898972,1,N,S,S,S,S,S,S,N,N,A,ALTA
1400,OURO,S,N,S,1,LJ,SHOPPING,9,726132,4,N,,N,S,S,N,S,S,S,A,BAIXA
1401,BRONZE,S,S,N,1,VD,RUA_FAMOSA,25,164038,4,N,S,N,S,S,S,N,S,N,C,ALTA
1402,DIAMANTE,S,S,S,4,VD,BAIRRO,30,639628,1,S,N,S,S,S,S,S,S,N,B,BAIXA
1403,PRATA,S,N,N,2,LJ,RUA_FAMOSA,6,811409,3,N,N,N,S,S,N,N,S,N,B,ALTA
1404,OURO,S,N,S,2,VD,RUA_FAMOSA,14,648912,4,N,N,S,S,N,N,N,S,S,B,ALTA
1405,PRATA,N,S,N,2,LJ,BAIRRO,8,830395,3,S,,N,N,N,N,N,N,N,D,INEXISTENTE
1406,BRONZE,N,N,N,2,VD,CENTRO,24,253897,4,N,S,S,S,N,N,N,N,N,A,ALTA
1407,DIAMANTE,S,S,N,2,VD,SHOPPING,27,560216,1,N,S,S,N,S,N,S,S,N,B,MÉDIA
1408,BRONZE,S,S,S,3,BO,BAIRRO,15,105781,4,S,S,S,N,S,N,N,N,N,D,INEXISTENTE
1409,PRATA,N,S,N,6,LJ,CENTRO,8,788247,3,N,N,N,N,N,S,S,N,N,D,BAIXA
1410,BRONZE,N,S,N,1,BO,BAIRRO,17,255276,4,N,S,N,S,N,N,N,N,N,D,ALTA
1411,DIAMANTE,S,S,N,2,VD,SHOPPING,28,859758,1,S,,S,S,S,N,S,S,S,C,BAIXA
1412,PRATA,N,N,S,1,BO,BAIRRO,7,609347,3,N,N,N,S,S,N,S,S,N,B,INEXISTENTE
1413,OURO,S,N,S,3,VD,BAIRRO,7,764653,3,N,N,N,S,N,S,S,N,S,A,MÉDIA
1414,BRONZE,N,S,N,2,LJ,BAIRRO,13,154641,4,N,S,N,S,S,S,N,S,N,A,MÉDIA
1415,DIAMANTE,S,S,N,1,BO,RUA_FAMOSA,28,639968,1,N,N,S,S,S,N,S,N,N,A,MÉDIA
1416,PRATA,N,N,S,4,VD,RUA_FAMOSA,5,499027,3,S,S,N,S,S,S,N,S,N,C,INEXISTENTE
1417,BRONZE,N,S,N,3,LJ,RURAL,16,179073,4,S,S,S,S,S,S,S,S,N,D,MÉDIA
1418,DIAMANTE,S,S,N,2,VD,RURAL,23,850425,1,S,,S,N,S,S,S,N,S,A,ALTA
1419,DIAMANTE,S,S,S,2,LJ,RURAL,20,953585,1,N,N,S,N,S,N,S,S,S,B,ALTA
1420,PRATA,S,N,S,4,VD,BAIRRO,7,431391,3,S,N,N,S,S,N,N,S,N,D,INEXISTENTE
1421,BRONZE,S,N,S,4,VD,CENTRO,24,291069,4,N,,S,S,N,N,N,S,N,D,MÉDIA
1422,DIAMANTE,S,S,S,5,VD,RUA_FAMOSA,20,795103,1,N,N,S,N,S,S,N,N,S,C,ALTA
1423,OURO,S,S,S,3,VD,CENTRO,11,587884,4,S,N,S,S,S,N,S,S,S,A,BAIXA
1424,PRATA,N,N,S,1,LJ,CENTRO,8,433999,4,N,N,N,S,S,S,N,N,N,D,BAIXA
1425,BRONZE,N,S,N,2,BO,CENTRO,17,197847,4,N,S,S,N,S,S,S,S,N,A,MÉDIA
1426,OURO,S,S,N,4,VD,BAIRRO,15,662786,3,N,S,N,S,N,N,N,S,N,D,BAIXA
1427,BRONZE,N,S,S,3,BO,RUA_FAMOSA,16,159028,4,N,N,N,N,S,S,N,N,N,B,BAIXA
1428,PRATA,N,S,S,1,VD,RUA_FAMOSA,8,692745,4,N,N,N,S,S,N,S,S,N,C,ALTA
1429,BRONZE,N,N,N,3,BO,RUA_FAMOSA,15,205164,4,S,S,S,N,S,S,S,N,N,B,MÉDIA
1430,BRONZE,N,S,S,3,BO,RURAL,16,237938,4,N,S,N,S,S,S,S,N,N,A,ALTA
1431,BRONZE,N,S,S,5,VD,CENTRO,13,114217,4,S,S,N,N,S,S,S,N,N,D,INEXISTENTE
1432,PRATA,S,S,S,3,VD,CENTRO,4,388050,3,S,S,N,N,N,S,N,N,N,D,INEXISTENTE
1433,PRATA,S,N,N,3,LJ,BAIRRO,7,679292,4,S,S,N,N,N,S,N,N,N,C,INEXISTENTE
1434,OURO,S,N,N,6,LJ,BAIRRO,7,810537,3,S,N,N,S,N,N,S,S,N,D,INEXISTENTE
1435,BRONZE,N,S,S,2,LJ,RUA_FAMOSA,21,299385,4,N,S,S,N,S,S,N,N,N,B,MÉDIA
1436,OURO,S,N,N,3,VD,BAIRRO,11,400827,4,S,N,N,S,N,S,N,N,S,A,ALTA
1437,PRATA,N,N,N,1,LJ,BAIRRO,5,440599,4,S,N,N,N,N,N,S,S,N,D,BAIXA
1438,DIAMANTE,S,S,S,3,BO,RURAL,23,556323,1,S,S,S,S,S,S,S,N,N,C,ALTA
1439,DIAMANTE,S,S,N,3,BO,RUA_FAMOSA,11,882277,1,S,N,S,N,S,N,N,N,S,A,MÉDIA
1440,BRONZE,N,S,N,6,BO,CENTRO,25,222727,4,N,S,N,S,S,S,S,S,N,C,MÉDIA
1441,OURO,S,N,N,6,BO,SHOPPING,11,442251,4,N,N,N,S,S,S,S,N,S,B,ALTA
1442,PRATA,N,N,N,2,LJ,BAIRRO,4,908486,3,S,N,N,S,N,S,S,N,N,C,INEXISTENTE
1443,OURO,S,S,S,1,BO,RUA_FAMOSA,16,793106,2,S,S,N,S,S,N,S,N,S,D,ALTA
1444,OURO,S,S,S,6,VD,CENTRO,11,760838,4,N,S,N,S,S,S,N,N,N,A,MÉDIA
1445,BRONZE,S,N,N,4,BO,CENTRO,17,101724,4,S,N,N,S,S,S,N,S,N,C,INEXISTENTE
1446,BRONZE,N,N,S,2,LJ,RUA_FAMOSA,13,113407,4,N,S,N,S,S,N,S,S,N,D,MÉDIA
1447,BRONZE,N,N,N,5,LJ,BAIRRO,16,111397,4,N,N,S,N,S,N,N,N,N,B,MÉDIA
1448,PRATA,N,S,S,2,VD,BAIRRO,9,350682,3,S,N,N,N,N,N,S,S,N,C,INEXISTENTE
1449,OURO,S,N,S,2,BO,BAIRRO,11,603687,3,N,N,S,S,N,N,S,N,N,A,BAIXA
1450,PRATA,N,S,N,5,VD,CENTRO,6,453359,4,S,N,N,S,S,N,S,S,N,D,INEXISTENTE
1451,DIAMANTE,S,S,N,1,BO,SHOPPING,21,760334,1,N,N,S,N,S,N,S,N,N,A,ALTA
1452,OURO,S,N,S,5,BO,BAIRRO,16,427556,4,N,S,S,S,N,S,S,N,N,B,ALTA
1453,OURO,S,S,N,3,LJ,BAIRRO,9,991013,2,S,N,S,S,S,N,S,N,S,C,MÉDIA
1454,PRATA,S,N,S,1,VD,RUA_FAMOSA,5,646041,4,N,S,N,S,N,S,N,N,N,D,INEXISTENTE
1455,BRONZE,S,N,S,2,BO,RUA_FAMOSA,21,273965,4,S,S,S,S,S,N,N,N,N,C,BAIXA
1456,BRONZE,N,N,S,2,BO,BAIRRO,22,297931,4,N,N,S,S,S,N,N,S,N,D,BAIXA
1457,OURO,S,S,S,3,VD,RUA_FAMOSA,9,773180,2,N,S,S,S,N,N,N,N,S,D,ALTA
1458,OURO,S,N,N,1,BO,RUA_FAMOSA,13,777915,4,S,N,N,S,S,N,S,S,S,D,INEXISTENTE
1459,OURO,S,S,S,2,LJ,BAIRRO,8,357815,4,N,N,N,S,S,N,N,N,S,C,ALTA
1460,OURO,S,S,N,3,VD,CENTRO,15,753225,2,S,S,N,S,S,S,S,N,N,A,ALTA
1461,PRATA,S,S,S,4,BO,BAIRRO,8,914340,4,S,N,N,S,N,S,S,N,N,D,INEXISTENTE
1462,BRONZE,N,S,N,5,LJ,BAIRRO,12,227914,4,S,N,S,S,S,S,S,S,N,D,BAIXA
1463,PRATA,N,S,S,1,BO,RUA_FAMOSA,5,978692,3,N,S,N,S,S,N,S,S,N,D,BAIXA
1464,BRONZE,S,N,N,3,BO,BAIRRO,18,215432,4,S,N,S,S,N,N,N,N,N,B,BAIXA
1465,OURO,S,N,N,2,LJ,CENTRO,13,545642,4,N,N,N,S,N,N,S,N,S,A,ALTA
1466,PRATA,N,S,S,6,LJ,SHOPPING,4,424088,4,S,S,N,N,S,N,N,N,N,D,BAIXA
1467,BRONZE,S,N,S,2,BO,BAIRRO,17,263907,4,S,,N,S,N,S,S,N,N,D,INEXISTENTE
1468,BRONZE,S,S,S,1,BO,CENTRO,17,227557,4,N,S,S,N,N,S,S,N,N,B,ALTA
1469,OURO,S,S,N,1,BO,BAIRRO,16,872276,3,N,S,S,S,N,N,N,N,S,C,ALTA
1470,PRATA,N,S,S,2,BO,SHOPPING,6,716510,4,S,S,N,S,N,N,S,S,N,D,INEXISTENTE
1471,DIAMANTE,S,S,S,1,VD,BAIRRO,11,504808,1,N,N,S,S,S,S,S,S,S,B,ALTA
1472,PRATA,S,N,S,3,LJ,RUA_FAMOSA,5,515416,3,S,,N,N,N,S,N,S,N,C,BAIXA
1473,DIAMANTE,S,S,N,2,VD,CENTRO,25,948276,1,N,N,S,N,S,N,S,S,S,B,MÉDIA
1474,OURO,S,N,N,6,BO,CENTRO,7,382588,3,S,N,S,S,S,S,N,S,S,B,ALTA
1475,DIAMANTE,S,S,S,5,LJ,BAIRRO,28,525095,1,S,N,S,N,S,N,S,N,S,A,BAIXA
1476,DIAMANTE,S,S,S,3,VD,RUA_FAMOSA,22,612601,1,N,,S,S,S,S,S,S,S,B,MÉDIA
1477,OURO,S,N,S,6,VD,RUA_FAMOSA,7,847893,4,S,S,S,S,N,N,S,N,N,C,INEXISTENTE
1478,OURO,S,S,S,2,LJ,RUA_FAMOSA,13,454223,3,N,,N,S,S,N,S,N,S,A,INEXISTENTE
1479,BRONZE,S,S,N,2,LJ,BAIRRO,14,116200,4,N,,S,S,S,N,S,S,N,C,MÉDIA
1480,OURO,S,N,S,2,LJ,BAIRRO,15,479702,4,N,N,N,S,S,S,N,S,S,B,ALTA
1481,DIAMANTE,S,S,N,6,VD,CENTRO,17,535900,1,N,N,S,S,S,N,S,S,S,A,ALTA
